__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
Body 26,http://ur.iaas.upenn.edu/location/3654/,Body 26,,,"Body Number 26, PG 1050",,,,,,,,
Body 27,http://ur.iaas.upenn.edu/location/3655/,Body 27,,,Body Number 27 grave 1050,,,,,,,,
Body 28,http://ur.iaas.upenn.edu/location/3652/,Body 28,,,Body Number 28 in PG. 1050,,,,,,,,
Body 29,http://ur.iaas.upenn.edu/location/3656/,Body 29,,,"Body Number 29, grave 1050",,,,,,,,
Body 30,http://ur.iaas.upenn.edu/location/3660/,Body 30,,,"Body number 30, grave 1050",,,,,,,,
Body 31,http://ur.iaas.upenn.edu/location/3657/,Body 31,,,"Body Number 31, Grave 1050",,,,,,,,
Body 32,http://ur.iaas.upenn.edu/location/3658/,Body 32,,,Body Number 32 grave 1050,,,,,,,,
Body 33,http://ur.iaas.upenn.edu/location/3659/,Body 33,,,Body Number 33 grave 1050,,,,,,,,
Body 34,http://ur.iaas.upenn.edu/location/3664/,Body 34,,,"Body Number 34, grave 1050",,,,,,,,
Body 35,http://ur.iaas.upenn.edu/location/3661/,Body 35,,,Body Name 35 grave 1050,,,,,,,,
Body 35,http://ur.iaas.upenn.edu/location/3665/,Body 35,,,"Body Number 39, grave 1050",,,,,,,,
Body 37,http://ur.iaas.upenn.edu/location/3662/,Body 37,,,"Body Number 37, Grave 1050",,,,,,,,
Body 38,http://ur.iaas.upenn.edu/location/3663/,Body 38,,,Body Number 38 grave 1050,,,,,,,,
Body 40,http://ur.iaas.upenn.edu/location/3666/,Body 40,,,"Body Number 40, grave 1050",,,,,,,,
PG/1050B,http://ur.iaas.upenn.edu/location/3723/,PG/1050B,,,PG 1050 B,,,,,,,,
PG/1051,http://ur.iaas.upenn.edu/location/2672/,PG/1051,PG/1051,,,,,,,,,,
PG/1052,http://ur.iaas.upenn.edu/location/2673/,PG/1052,PG/1052,,,,,,,,,,
PG/1053,http://ur.iaas.upenn.edu/location/2674/,PG/1053,PG/1053,,,,,,,,,,Ur I - Lu
PG/1054,http://ur.iaas.upenn.edu/location/944/,PG/1054,PG 1054,"Ur Excavations vol. 2: ""This grave illustrated more fully than any other the ritual of a royal burial; the soil above it was full of later graves the digging of which had destroyed any superstructure that there might have been and the upper part of the tomb-shaft; the tops of the original walls were only encountered at a depth of 4-00 m. below the modern surface. But below this there had been no disturbance and the tomb and its accessories were intact. The excavation was not easy, partly because the virtual disappearance of the south-east wall and the fact that the north-east wall was for a long while not discovered, being hidden under the earth ramp made for our basket-men, prevented us at first from seeing that we were dealing with one definite shaft, and the different stratification on the two sides of the cross-wall, at least in the upper levels, further concealed the truth. The higher part of the shaft sides were never found and are therefore only dotted in on the section. The correlation of field notes written quite independently was not simple, but fortunately there were enough points of contact, and the section, though slightly schematic, does give the facts fairly accurately.""; Woolley believed this royal tomb to show the process of ritual surrounding the burial and building of the grave shaft. The tomb is a complex one, consisting of a deep, walled shaft above a rubble and earth domed tomb. Woolley believed that the burials in the shaft acted as a kind of death pit, thus he believed the bodies in the shaft to be attendants to the primary burial in the domed chamber below.

In the main chamber were the bodies of five people, four men and one woman. The woman was clearly an important person, lying in the center of the tomb and having a gold cylinder seal as well as other high value objects, including much carnelian. The walls of the shaft above began from a layer packed over the domed chamber and in theory could be a different grave entirely. However, Woolley believed he had evidence of a continuous process that included the packing and smoothing of layers above the dome and then the construction of the shaft. In the shaft, at differing levels, were four more burials. Some of these also possessed rather high-end objects and one had nearby a cylinder seal with the name of Meskalamdug, the King. In his section of PG1054, Woolley reconstructed a dome over this grave, but later intrusive burials had destroyed the upper walls and, if it had been there, the upper, smaller dome.",,,,,,,,,Mk
PG/1054A,http://ur.iaas.upenn.edu/location/1816/,PG/1054A,Personal Grave 1054 A,,,,,,,,,,
PG/1054B,http://ur.iaas.upenn.edu/location/1817/,PG/1054B,Personal Grave 1054 B,,,,,,,,,,
PG/1054C,http://ur.iaas.upenn.edu/location/1818/,PG/1054C,Personal Grave 1054 C,,,,,,,,,,
PG/1054D,http://ur.iaas.upenn.edu/location/1819/,PG/1054D,,,Personal Grave 1054 Dome,,,,,,,,
PG/1055,http://ur.iaas.upenn.edu/location/2675/,PG/1055,PG/1055,,,,,,,,,,Ur I - Lu
PG/1056,http://ur.iaas.upenn.edu/location/2676/,PG/1056,PG/1056,,,,,,,,,,Lu-FA
PG/1057,http://ur.iaas.upenn.edu/location/2677/,PG/1057,PG/1057,,,,,,,,,,Lu-FA
PG/1058,http://ur.iaas.upenn.edu/location/2678/,PG/1058,PG/1058,,,,,,,,,,SA
PG/1059,http://ur.iaas.upenn.edu/location/2679/,PG/1059,PG/1059,,,,,,,,,,FA
PG/1060,http://ur.iaas.upenn.edu/location/2680/,PG/1060,PG/1060,,,,,,,,,,FA
PG/1061,http://ur.iaas.upenn.edu/location/2681/,PG/1061,PG/1061,,,,,,,,,,Ur I - Lu
PG/1062,http://ur.iaas.upenn.edu/location/2682/,PG/1062,PG/1062,,,,,,,,,,SA-NS
PG/1063,http://ur.iaas.upenn.edu/location/2683/,PG/1063,PG/1063,,,,,,,,,,SA-NS
PG/1064,http://ur.iaas.upenn.edu/location/2684/,PG/1064,PG/1064,,,,,,,,,,SA-NS
PG/1065,http://ur.iaas.upenn.edu/location/2685/,PG/1065,PG/1065,,,,,,,,,,Lu-FA
PG/1066,http://ur.iaas.upenn.edu/location/2686/,PG/1066,PG/1066,,,,,,,,,,Ur I - Lu
PG/1067,http://ur.iaas.upenn.edu/location/2687/,PG/1067,PG/1067,,,,,,,,,,NS
PG/1068,http://ur.iaas.upenn.edu/location/1054/,PG/1068,,,PG 1068,,,,,,,,FA
PG/1069,http://ur.iaas.upenn.edu/location/1055/,PG/1069,,,PG 1069,,,,,,,,Lu
PG/1070,http://ur.iaas.upenn.edu/location/1369/,PG/1070,Personal Grave 1070,,,,,,,,,,Ur I - Lu
PG/1071,http://ur.iaas.upenn.edu/location/2688/,PG/1071,PG/1071,,,,,,,,,,SA-NS
PG/1072,http://ur.iaas.upenn.edu/location/2689/,PG/1072,PG/1072,,,,,,,,,,SA-NS
PG/1073,http://ur.iaas.upenn.edu/location/2690/,PG/1073,PG/1073,,,,,,,,,,SA-NS
PG/1074,http://ur.iaas.upenn.edu/location/2691/,PG/1074,PG/1074,,,,,,,,,,MA-SA
PG/1075,http://ur.iaas.upenn.edu/location/2692/,PG/1075,PG/1075,,,,,,,,,,Ur I - Lu
PG/1076,http://ur.iaas.upenn.edu/location/2693/,PG/1076,PG/1076,,,,,,,,,,FA
PG/1077,http://ur.iaas.upenn.edu/location/2694/,PG/1077,PG/1077,,,,,,,,,,Lu-FA
PG/1078,http://ur.iaas.upenn.edu/location/2695/,PG/1078,PG/1078,,,,,,,,,,Ur I - Lu
PG/1079,http://ur.iaas.upenn.edu/location/2696/,PG/1079,PG/1079,,,,,,,,,,Ur I - Lu
PG/1080,http://ur.iaas.upenn.edu/location/2697/,PG/1080,PG/1080,,,,,,,,,,Ur I - Lu
PG/1081,http://ur.iaas.upenn.edu/location/2698/,PG/1081,PG/1081,,,,,,,,,,Ur I - Lu
PG/1082,http://ur.iaas.upenn.edu/location/2699/,PG/1082,PG/1082,,,,,,,,,,Ur I - Lu
PG/1083,http://ur.iaas.upenn.edu/location/2700/,PG/1083,PG/1083,,,,,,,,,,Ur I - Lu
PG/1084,http://ur.iaas.upenn.edu/location/2701/,PG/1084,PG/1084,,,,,,,,,,SA
PG/1085,http://ur.iaas.upenn.edu/location/2702/,PG/1085,PG/1085,,,,,,,,,,SA
PG/1086,http://ur.iaas.upenn.edu/location/2703/,PG/1086,PG/1086,,,,,,,,,,SA
PG/1087,http://ur.iaas.upenn.edu/location/2704/,PG/1087,PG/1087,,,,,,,,,,Mk
PG/1088,http://ur.iaas.upenn.edu/location/2705/,PG/1088,PG/1088,,,,,,,,,,Mk
PG/1089,http://ur.iaas.upenn.edu/location/2706/,PG/1089,PG/1089,,,,,,,,,,
PG/1090,http://ur.iaas.upenn.edu/location/2707/,PG/1090,PG/1090,,,,,,,,,,MA-SA
PG/1091,http://ur.iaas.upenn.edu/location/2708/,PG/1091,PG/1091,,,,,,,,,,MA
PG/1092,http://ur.iaas.upenn.edu/location/2709/,PG/1092,PG/1092,,,,,,,,,,NS
PG/1093,http://ur.iaas.upenn.edu/location/2710/,PG/1093,PG/1093,,,,,,,,,,SA-NS
PG/1094,http://ur.iaas.upenn.edu/location/2711/,PG/1094,PG/1094,,,,,,,,,,NS
PG/1095,http://ur.iaas.upenn.edu/location/2712/,PG/1095,PG/1095,,,,,,,,,,NS
PG/1096,http://ur.iaas.upenn.edu/location/2713/,PG/1096,PG/1096,,,,,,,,,,Mk
PG/1097,http://ur.iaas.upenn.edu/location/2714/,PG/1097,PG/1097,,,,,,,,,,Ur I - Lu
PG/1098,http://ur.iaas.upenn.edu/location/2715/,PG/1098,PG/1098,,,,,,,,,,Mk
PG/1099,http://ur.iaas.upenn.edu/location/2716/,PG/1099,PG/1099,,,,,,,,,,Mk
PG/1100,http://ur.iaas.upenn.edu/location/1056/,PG/1100,,,PG 1100,,,,,,,,
Private Graves 1101-1200,http://ur.iaas.upenn.edu/location/2717/,Private Graves 1101-1200,Private Graves 1101-1200,,,,,,,,,,
PG/1101,http://ur.iaas.upenn.edu/location/1512/,PG/1101,Personal Grave 1101,,,,,,,,,,Mk
PG/1102,http://ur.iaas.upenn.edu/location/2718/,PG/1102,PG/1102,,,,,,,,,,MA-SA
PG/1103,http://ur.iaas.upenn.edu/location/2719/,PG/1103,PG/1103,,,,,,,,,,Ur I - Lu
PG/1104,http://ur.iaas.upenn.edu/location/2720/,PG/1104,PG/1104,,,,,,,,,,Ur I - Lu
PG/1105,http://ur.iaas.upenn.edu/location/2721/,PG/1105,PG/1105,,,,,,,,,,Ur I - Lu
PG/1106,http://ur.iaas.upenn.edu/location/2722/,PG/1106,PG/1106,,,,,,,,,,SA-NS
PG/1107,http://ur.iaas.upenn.edu/location/2723/,PG/1107,PG/1107,,,,,,,,,,Lu-FA
PG/1108,http://ur.iaas.upenn.edu/location/2724/,PG/1108,PG/1108,,,,,,,,,,FA
PG/1109,http://ur.iaas.upenn.edu/location/2725/,PG/1109,PG/1109,,,,,,,,,,Ur I - Lu
PG/1110,http://ur.iaas.upenn.edu/location/1366/,PG/1110,Personal Grave 1110,,,,,,,,,,MA
PG/1111,http://ur.iaas.upenn.edu/location/1370/,PG/1111,Personal Grave 1111,,,,,,,,,,
PG/1112,http://ur.iaas.upenn.edu/location/2726/,PG/1112,PG/1112,,,,,,,,,,Mk
PG/1113,http://ur.iaas.upenn.edu/location/2727/,PG/1113,PG/1113,,,,,,,,,,MA-SA
PG/1114,http://ur.iaas.upenn.edu/location/1545/,PG/1114,Personal Grave 1114,,,,,,,,,,MA-SA
PG/1115,http://ur.iaas.upenn.edu/location/2728/,PG/1115,PG/1115,,,,,,,,,,Mk
PG/1116,http://ur.iaas.upenn.edu/location/2729/,PG/1116,PG/1116,,,,,,,,,,Ur I - Lu
PG/1117,http://ur.iaas.upenn.edu/location/2730/,PG/1117,PG/1117,,,,,,,,,,FA
PG/1118,http://ur.iaas.upenn.edu/location/2731/,PG/1118,PG/1118,,,,,,,,,,FA
PG/1119,http://ur.iaas.upenn.edu/location/2732/,PG/1119,PG/1119,,,,,,,,,,Ur I - Lu
PG/1120,http://ur.iaas.upenn.edu/location/2733/,PG/1120,PG/1120,,,,,,,,,,SA-NS
PG/1121,http://ur.iaas.upenn.edu/location/2734/,PG/1121,PG/1121,,,,,,,,,,MA-SA
PG/1122,http://ur.iaas.upenn.edu/location/2735/,PG/1122,PG/1122,,,,,,,,,,
PG/1123,http://ur.iaas.upenn.edu/location/2736/,PG/1123,PG/1123,,,,,,,,,,SA-NS
PG/1124,http://ur.iaas.upenn.edu/location/2737/,PG/1124,PG/1124,,,,,,,,,,MA-SA
PG/1125,http://ur.iaas.upenn.edu/location/2738/,PG/1125,PG/1125,,,,,,,,,,FA
PG/1126,http://ur.iaas.upenn.edu/location/2739/,PG/1126,PG/1126,,,,,,,,,,SA-NS
PG/1127,http://ur.iaas.upenn.edu/location/2740/,PG/1127,PG/1127,,,,,,,,,,SA-NS
PG/1128,http://ur.iaas.upenn.edu/location/2741/,PG/1128,PG/1128,,,,,,,,,,MA-SA
PG/1129,http://ur.iaas.upenn.edu/location/2742/,PG/1129,PG/1129,,,,,,,,,,Ur I - Lu
PG/1130,http://ur.iaas.upenn.edu/location/1057/,PG/1130,,,PG 1130,,,,,,,,Mk
PG/1131,http://ur.iaas.upenn.edu/location/2743/,PG/1131,PG/1131,,,,,,,,,,SA-NS
PG/1132,http://ur.iaas.upenn.edu/location/2744/,PG/1132,PG/1132,,,,,,,,,,
PG/1133,http://ur.iaas.upenn.edu/location/2745/,PG/1133,PG/1133,,,,,,,,,,Ur I - Lu
PG/1134,http://ur.iaas.upenn.edu/location/2746/,PG/1134,PG/1134,,,,,,,,,,Lu
PG/1135,http://ur.iaas.upenn.edu/location/2747/,PG/1135,PG/1135,,,,,,,,,,MA
PG/1136,http://ur.iaas.upenn.edu/location/2748/,PG/1136,PG/1136,,,,,,,,,,Mk
PG/1137,http://ur.iaas.upenn.edu/location/2749/,PG/1137,PG/1137,,,,,,,,,,Lu-FA
PG/1138,http://ur.iaas.upenn.edu/location/2750/,PG/1138,PG/1138,,,,,,,,,,SA-NS
PG/1139,http://ur.iaas.upenn.edu/location/2751/,PG/1139,PG/1139,,,,,,,,,,FA
PG/1140,http://ur.iaas.upenn.edu/location/2752/,PG/1140,PG/1140,,,,,,,,,,Ur I - Lu
PG/1141,http://ur.iaas.upenn.edu/location/1058/,PG/1141,PG 1141,,,,,,,,,,MA-SA
PG/1142,http://ur.iaas.upenn.edu/location/2753/,PG/1142,PG/1142,,,,,,,,,,Ur I - Lu
PG/1143,http://ur.iaas.upenn.edu/location/2754/,PG/1143,PG/1143,,,,,,,,,,Mk
PG/1144,http://ur.iaas.upenn.edu/location/2755/,PG/1144,PG/1144,,,,,,,,,,Mk
PG/1145,http://ur.iaas.upenn.edu/location/2756/,PG/1145,PG/1145,,,,,,,,,,Mk
PG/1146,http://ur.iaas.upenn.edu/location/2757/,PG/1146,PG/1146,,,,,,,,,,Ur I - Lu
PG/1147,http://ur.iaas.upenn.edu/location/2758/,PG/1147,PG/1147,,,,,,,,,,Mk
PG/1148,http://ur.iaas.upenn.edu/location/1828/,PG/1148,Personal Grave 1148,,,,,,,,,,MA-SA
PG/1149,http://ur.iaas.upenn.edu/location/2759/,PG/1149,PG/1149,,,,,,,,,,FA
PG/1150,http://ur.iaas.upenn.edu/location/2760/,PG/1150,PG/1150,,,,,,,,,,Ur I - Lu
PG/1151,http://ur.iaas.upenn.edu/location/2761/,PG/1151,PG/1151,,,,,,,,,,Ur I - Lu
PG/1152,http://ur.iaas.upenn.edu/location/2762/,PG/1152,PG/1152,,,,,,,,,,FA
PG/1153,http://ur.iaas.upenn.edu/location/2763/,PG/1153,PG/1153,,,,,,,,,,Mk
PG/1154,http://ur.iaas.upenn.edu/location/2764/,PG/1154,PG/1154,,,,,,,,,,MA
PG/1155,http://ur.iaas.upenn.edu/location/2765/,PG/1155,PG/1155,,,,,,,,,,FA
PG/1156,http://ur.iaas.upenn.edu/location/2766/,PG/1156,PG/1156,,,,,,,,,,Mk
PG/1157,http://ur.iaas.upenn.edu/location/2767/,PG/1157,PG/1157,,,,,,,,,,Mk - Ur I
PG/1158,http://ur.iaas.upenn.edu/location/2768/,PG/1158,PG/1158,,,,,,,,,,Lu-FA
PG/1159,http://ur.iaas.upenn.edu/location/2769/,PG/1159,PG/1159,,,,,,,,,,FA
PG/1160,http://ur.iaas.upenn.edu/location/2770/,PG/1160,PG/1160,,,,,,,,,,Mk
PG/1161,http://ur.iaas.upenn.edu/location/2771/,PG/1161,PG/1161,,,,,,,,,,Mk
PG/1162,http://ur.iaas.upenn.edu/location/1805/,PG/1162,Personal Grave 1162,,,,,,,,,,FA
PG/1163,http://ur.iaas.upenn.edu/location/2772/,PG/1163,PG/1163,,,,,,,,,,FA
PG/1164,http://ur.iaas.upenn.edu/location/2773/,PG/1164,PG/1164,,,,,,,,,,MA-SA
PG/1165,http://ur.iaas.upenn.edu/location/2774/,PG/1165,PG/1165,,,,,,,,,,MA-SA
PG/1166,http://ur.iaas.upenn.edu/location/2775/,PG/1166,PG/1166,,,,,,,,,,FA
PG/1167,http://ur.iaas.upenn.edu/location/2776/,PG/1167,PG/1167,,,,,,,,,,Mk
PG/1168,http://ur.iaas.upenn.edu/location/2777/,PG/1168,PG/1168,,,,,,,,,,Ur I - Lu
"PG/1169
",http://ur.iaas.upenn.edu/location/2778/,PG/1169,PG/1169,,,,,,,,,,FA
PG/1170,http://ur.iaas.upenn.edu/location/2779/,PG/1170,PG/1170,,,,,,,,,,FA
PG/1171,http://ur.iaas.upenn.edu/location/2780/,PG/1171,PG/1171,,,,,,,,,,FA
PG/1172,http://ur.iaas.upenn.edu/location/2781/,PG/1172,PG/1172,,,,,,,,,,SA-NS
PG/1173,http://ur.iaas.upenn.edu/location/2782/,PG/1173,PG/1173,,,,,,,,,,FA
PG/1174,http://ur.iaas.upenn.edu/location/2783/,PG/1174,PG/1174,,,,,,,,,,MA-SA
PG/1175,http://ur.iaas.upenn.edu/location/2784/,PG/1175,PG/1175,,,,,,,,,,MA-SA
PG/1176,http://ur.iaas.upenn.edu/location/2785/,PG/1176,PG/1176,,,,,,,,,,MA
PG/1177,http://ur.iaas.upenn.edu/location/2786/,PG/1177,PG/1177,,,,,,,,,,Ur I - Lu
PG/1178,http://ur.iaas.upenn.edu/location/2787/,PG/1178,PG/1178,,,,,,,,,,FA
PG/1179,http://ur.iaas.upenn.edu/location/2788/,PG/1179,PG/1179,,,,,,,,,,Ur I - Lu
PG/1180,http://ur.iaas.upenn.edu/location/1060/,PG/1180,PG 1180,,,,,,,,,,Ur I - Lu
"PG/1181
",http://ur.iaas.upenn.edu/location/2789/,PG/1181,PG/1181,,,,,,,,,,FD
PG/1182,http://ur.iaas.upenn.edu/location/1059/,PG/1182,PG 1182,,,,,,,,,,
PG/1183,http://ur.iaas.upenn.edu/location/2790/,PG/1183,PG/1183,,,,,,,,,,Ur I - Lu
PG/1184,http://ur.iaas.upenn.edu/location/2791/,PG/1184,PG/1184,,,,,,,,,,FA
PG/1185,http://ur.iaas.upenn.edu/location/2792/,PG/1185,PG/1185,,,,,,,,,,FA
PG/1186,http://ur.iaas.upenn.edu/location/2793/,PG/1186,PG/1186,,,,,,,,,,FA
PG/1187,http://ur.iaas.upenn.edu/location/2794/,PG/1187,PG/1187,,,,,,,,,,Ur I - Lu
PG/1188,http://ur.iaas.upenn.edu/location/2795/,PG/1188,PG/1188,,,,,,,,,,FA
PG/1189,http://ur.iaas.upenn.edu/location/2796/,PG/1189,PG/1189,,,,,,,,,,Ur I - Lu
PG/1190,http://ur.iaas.upenn.edu/location/2797/,PG/1190,PG/1190,,,,,,,,,,Ur I - Lu
PG/1191,http://ur.iaas.upenn.edu/location/2798/,PG/1191,PG/1191,,,,,,,,,,Ur I - Lu
PG/1192,http://ur.iaas.upenn.edu/location/2799/,PG/1192,PG/1192,,,,,,,,,,SA-NS
PG/1193,http://ur.iaas.upenn.edu/location/2800/,PG/1193,PG/1193,,,,,,,,,,Ur I - Lu
PG/1194,http://ur.iaas.upenn.edu/location/1843/,PG/1194,Personal Grave 1194,,,,,,,,,,Mk - Ur I
PG/1195,http://ur.iaas.upenn.edu/location/2801/,PG/1195,PG/1195,,,,,,,,,,Mk
PG/1196,http://ur.iaas.upenn.edu/location/2802/,PG/1196,PG/1196,,,,,,,,,,Mk
PG/1197,http://ur.iaas.upenn.edu/location/2803/,PG/1197,PG/1197,,,,,,,,,,Lu - FA
PG/1198,http://ur.iaas.upenn.edu/location/2804/,PG/1198,PG/1198,,,,,,,,,,MA-SA
PG/1199,http://ur.iaas.upenn.edu/location/2805/,PG/1199,PG/1199,,,,,,,,,,MA
PG/1200,http://ur.iaas.upenn.edu/location/2806/,PG/1200,PG/1200,,,,,,,,,,SA
Private Graves 1201-1300,http://ur.iaas.upenn.edu/location/2807/,Private Graves 1201-1300,Private Graves 1201-1300,,,,,,,,,,
PG/1201,http://ur.iaas.upenn.edu/location/2809/,PG/1201,PG/1201,,,,,,,,,,SA-NS
PG/1202,http://ur.iaas.upenn.edu/location/2810/,PG/1202,PG/1202,,,,,,,,,,SA-NS
PG/1203,http://ur.iaas.upenn.edu/location/1849/,PG/1203,Personal Grave 1203,,,,,,,,,,SA-NS
PG/1203,http://ur.iaas.upenn.edu/location/1575/,PG/1203,Personal Grave 1205,,,,,,,,,,SA
PG/1204,http://ur.iaas.upenn.edu/location/2811/,PG/1204,PG/1204,,,,,,,,,,SA-NS
PG/1206,http://ur.iaas.upenn.edu/location/2812/,PG/1206,PG/1206,,,,,,,,,,SA-NS
PG/1207,http://ur.iaas.upenn.edu/location/2813/,PG/1207,PG/1207,,,,,,,,,,MA-SA
PG/1208,http://ur.iaas.upenn.edu/location/1294/,PG/1208,Personal Grave 1208,,,,,,,,,,SA
PG/1209,http://ur.iaas.upenn.edu/location/2814/,PG/1209,PG/1209,,,,,,,,,,SA-NS
PG/1210,http://ur.iaas.upenn.edu/location/2815/,PG/1210,PG/1210,,,,,,,,,,SA-NS
PG/1211,http://ur.iaas.upenn.edu/location/2816/,PG/1211,PG/1211,,,,,,,,,,SA-NS
PG/1212,http://ur.iaas.upenn.edu/location/1801/,PG/1212,Personal Grave 1212,,,,,,,,,,SA-NS
PG/1213,http://ur.iaas.upenn.edu/location/2817/,PG/1213,PG/1213,,,,,,,,,,SA
PG/1214,http://ur.iaas.upenn.edu/location/2818/,PG/1214,PG/1214,,,,,,,,,,FA
PG/1215,http://ur.iaas.upenn.edu/location/2819/,PG/1215,PG/1215,,,,,,,,,,MA-SA
PG/1216,http://ur.iaas.upenn.edu/location/2820/,PG/1216,PG/1216,,,,,,,,,,FA
PG/1217,http://ur.iaas.upenn.edu/location/2821/,PG/1217,PG/1217,,,,,,,,,,FA
PG/1218,http://ur.iaas.upenn.edu/location/2822/,PG/1218,PG/1218,,,,,,,,,,FA
PG/1219,http://ur.iaas.upenn.edu/location/2823/,PG/1219,PG/1219,,,,,,,,,,MA
PG/1220,http://ur.iaas.upenn.edu/location/2824/,PG/1220,PG/1220,,,,,,,,,,MA-SA
PG/1220A,http://ur.iaas.upenn.edu/location/4575/,PG/1220A,Personal Grave 1220A,,,,,,,,,,MA-SA
PG/1221,http://ur.iaas.upenn.edu/location/2825/,PG/1221,PG/1221,,,,,,,,,,Mk
PG/1222,http://ur.iaas.upenn.edu/location/2826/,PG/1222,PG/1222,,,,,,,,,,MA-SA
PG/1223,http://ur.iaas.upenn.edu/location/2827/,PG/1223,PG/1223,,,,,,,,,,MA-SA
PG/1224,http://ur.iaas.upenn.edu/location/2828/,PG/1224,PG/1224,,,,,,,,,,FA
PG/1225,http://ur.iaas.upenn.edu/location/2829/,PG/1225,PG/1225,,,,,,,,,,FA
PG/1226,http://ur.iaas.upenn.edu/location/2830/,PG/1226,PG/1226,,,,,,,,,,MA-SA
PG/1227,http://ur.iaas.upenn.edu/location/2831/,PG/1227,PG/1227,,,,,,,,,,FA
PG/1228,http://ur.iaas.upenn.edu/location/2832/,PG/1228,PG/1228,,,,,,,,,,FA
PG/1229,http://ur.iaas.upenn.edu/location/2833/,PG/1229,PG/1229,,,,,,,,,,FA
PG/1230,http://ur.iaas.upenn.edu/location/2834/,PG/1230,PG/1230,,,,,,,,,,FA
PG/1231,http://ur.iaas.upenn.edu/location/2835/,PG/1231,PG/1231,,,,,,,,,,MA-SA
PG/1232,http://ur.iaas.upenn.edu/location/2836/,PG/1232,PG/1232,,,,,,,,,,Mk
PG/1232A,http://ur.iaas.upenn.edu/location/4576/,PG/1232A,Personal Grave 1232A,,,,,,,,,,SA-NS
PG/1233,http://ur.iaas.upenn.edu/location/2837/,PG/1233,PG/1233,,,,,,,,,,
PG/1234,http://ur.iaas.upenn.edu/location/2838/,PG/1234,PG/1234,,,,,,,,,,Ur I - Lu
PG/1235,http://ur.iaas.upenn.edu/location/1092/,PG/1235,PG 1235,,,,,,,,,,
PG/1236,http://ur.iaas.upenn.edu/location/1229/,PG/1236,Personal Grave 1236,,,,,,,,,,Mk
Chamber A,http://ur.iaas.upenn.edu/location/3719/,Chamber A,,,Chamber A,,,,,,,,
Chamber B,http://ur.iaas.upenn.edu/location/3720/,Chamber B,,,Chamber B,,,,,,,,
Chamber C,http://ur.iaas.upenn.edu/location/3721/,Chamber C,,,Chamber C,,,,,,,,
Chamber D,http://ur.iaas.upenn.edu/location/3722/,Chamber D,,,Chamber D,,,,,,,,
PG/1237,http://ur.iaas.upenn.edu/location/931/,PG/1237,PG 1237,,,,,,,,,,Mk
Body 1 | Body 1,http://ur.iaas.upenn.edu/location/1397/,Body 1 | Body 1,Body 1,,,,,,,,,,
Body 10 | Body 39,http://ur.iaas.upenn.edu/location/1406/,Body 10 | Body 39,Body 10,,Body 39,,,,,,,,
Body 11 | Body 40,http://ur.iaas.upenn.edu/location/1407/,Body 11 | Body 40,Body 11,,Body 40,,,,,,,,
Body 12 | Body 41,http://ur.iaas.upenn.edu/location/1408/,Body 12 | Body 41,Body 12,,Body 41,,,,,,,,
Body 13 | Body 20,http://ur.iaas.upenn.edu/location/1409/,Body 13 | Body 20,Body 13,,Body 20,,,,,,,,
Body 14 | Body 15,http://ur.iaas.upenn.edu/location/1410/,Body 14 | Body 15,Body 14,,Body 15,,,,,,,,
Body 15 | Body 14,http://ur.iaas.upenn.edu/location/1411/,Body 15 | Body 14,Body 15,,Body 14,,,,,,,,
Body 16 | Body 8,http://ur.iaas.upenn.edu/location/1412/,Body 16 | Body 8,Body 16,,Body 8,,,,,,,,
